"id","city_id","name","slug"
"626","28536","Maintenance Services","maintenance-services"
"627","28536","Public Works","public-works-54"
"628","28536","Utilities & Environmental Services","utilities-environmental-services"
"629","28541","Fire","fire-35"
"630","28541","Police","police-37"
"631","28541","Administrative Services","administrative-services-13"
"632","28541","City Attorney","city-attorney-19"
"633","28541","City Clerk","city-clerk-39"
"634","28541","City Manager","city-manager-43"
"635","28541","Community Development","community-development-38"
"636","28541","Finance","finance-46"
"637","28541","Human Resources","human-resources-31"
"638","28541","Information Technology","information-technology-17"
"639","28541","Innovation & Economic Development","innovation-economic-development"
"640","28541","Library","library-11"
"641","28541","Public Works","public-works-55"
"642","28545","Police","police-38"
"643","28545","Community Development","community-development-39"
"644","28545","General Government & Management","general-government-management"
"645","28545","Public Works","public-works-56"
"646","28545","Recreation","recreation-5"
"647","28569","Fire","fire-36"
"648","28569","Police","police-39"
"649","28569","City Administrator","city-administrator-1"
"650","28569","City Attorney","city-attorney-20"
"651","28569","City Auditor","city-auditor-2"
"652","28569","City Clerk","city-clerk-40"
"653","28569","City Council","city-council-8"
"654","28569","Economic & Workforce Development","economic-workforce-development-1"
"655","28569","Finance","finance-47"
"656","28569","Housing & Community Development","housing-community-development-1"
"657","28569","Human Resources","human-resources-32"
"658","28569","Human Services","human-services-2"
"659","28569","Information Technology","information-technology-18"
"660","28569","Mayor","mayor-1"
"661","28569","Oakland Parks, Recreation & Youth Development","oakland-parks-recreation-youth-development-1"
"662","28569","Oakland Public Library","oakland-public-library-1"
"663","28569","Planning & Building","planning-building-3"
"664","28569","Police Commission","police-commission-1"
"665","28569","Public Ethics Commission","public-ethics-commission-1"
"666","28569","Public Works","public-works-57"
"667","28569","Race & Equity","race-equity-1"
"668","28569","Transportation","transportation-1"
"669","28569","Violence Prevention","violence-prevention-1"
"670","28571","Administration","administration-10"
"671","28571","Fire","fire-37"
"672","28571","Police","police-40"
"673","28571","Public Works","public-works-58"
"674","28571","Recreation","recreation-6"
"675","28551","Fire","fire-38"
"676","28551","Police","police-41"
"677","28551","City Manager","city-manager-44"
"678","28551","Community Development","community-development-40"
"679","28551","Economic Development","economic-development-8"
"680","28551","Engineering","engineering-4"
"681","28551","Finance","finance-48"
"682","28551","Human Resources","human-resources-33"
"683","28551","Information Technology","information-technology-19"
"684","28551","Law","law"
"685","28551","Library and Recreation","library-and-recreation"
"686","28551","Operations Services","operations-services"
"687","28560","Police","police-42"
"688","28560","City Council","city-council-9"
"689","28560","City Manager","city-manager-45"
"690","28560","Community Development","community-development-41"
"691","28560","Engineering & Transportation","engineering-transportation"
"692","28560","Finance","finance-49"
"693","28560","Library","library-12"
"694","28560","Public Works","public-works-59"
"695","28560","Recreation & Human Services","recreation-human-services"
"696","28565","Police","police-43"
"697","28565","City Clerk","city-clerk-41"
"698","28565","City Manager","city-manager-46"
"699","28565","Community & Recreation Services","community-recreation-services"
"700","28565","Economic and Community Development","economic-and-community-development"
"701","28565","Finance","finance-50"
"702","28565","Public Works","public-works-60"
"703","29892","Administration","administration-11"
"704","29892","Finance","finance-51"
"705","29892","Police","police-44"
"706","29892","Public Works","public-works-61"
"707","28483","City Attorney","city-attorney-21"
"708","28483","City Manager","city-manager-47"
"709","28483","City Treasurer","city-treasurer-7"
"710","28483","Community Development","community-development-42"
"711","28483","Finance","finance-52"
"712","28483","Fire","fire-39"
"713","28483","Human Resources","human-resources-34"
"714","28483","Information Services","information-services"
"715","28483","Parks and Recreation","parks-and-recreation-3"
"716","28483","Police","police-45"
"717","28483","Public Works","public-works-62"
"718","28484","Administrative Services","administrative-services-14"
"719","28484","City Manager","city-manager-48"
"720","28484","Fire","fire-40"
"721","28484","Marina","marina"
"722","28484","Parks and Recreation","parks-and-recreation-4"
"723","28484","Planning and Community Development","planning-and-community-development"
"724","28484","Police","police-46"
"725","28484","Public Works","public-works-63"
"726","28485","Police","police-47"
"727","28485","City Attorney","city-attorney-22"
"728","28485","City Clerk","city-clerk-42"
"729","28485","City Manager","city-manager-49"
"730","28485","Community Development","community-development-43"
"731","28485","Finance","finance-53"
"732","28485","Human Resources","human-resources-35"
"733","28485","Library","library-13"
"734","28485","Parks and Recreation ","parks-and-recreation-5"
"735","28485","Public Works","public-works-64"
"736","29858","Police","police-48"
"737","29858","City Clerk","city-clerk-43"
"738","29858","City Manager","city-manager-50"
"739","29858","Public Works and  Planning","public-works-and-planning"
"740","29858","Recreation Services","recreation-services-1"
